"x","y","z","s"
0.737271933117881,0.795282054459676,0.877305664820597,0.1
0.801826742012054,0.853514512069523,0.58912306278944,0.1
0.595997631549835,0.96782604418695,0.448457711841911,0.1
0.0665947285015136,0.974844366079196,0.620144470129162,0.1
0.643942566588521,0.039113086881116,0.188937306171283,0.1
0.779687418602407,0.396251917816699,0.983956358162686,0.1
0.456912556430325,0.557030083844438,0.47588408109732,0.1
0.141530589433387,0.303287924267352,0.901459835935384,0.1
0.704442591173574,0.399502598214895,0.629377437522635,0.1
0.234599962132052,0.384315784554929,0.26709133409895,0.1
0.310776686063036,0.445489994483069,0.941677945200354,0.1
0.300247541163117,0.0913327294401824,0.368990200804546,0.1
0.678970803273842,0.0372901069931686,0.600318677490577,0.1
0.374867771286517,0.384858830133453,0.156012368621305,0.1
0.309972245013341,0.961904154857621,0.763302435865626,0.1
0.80467638745904,0.280522558372468,0.874494760530069,0.1
0.0901935326401144,0.0248243499081582,0.0747015937231481,0.1
0.980137652251869,0.364069241564721,0.0540057385805994,0.1
0.18011282547377,0.506548959994689,0.32339636888355,0.1
0.168766530696303,0.702005635481328,0.697466238867491,0.1
0.879465408157557,0.796027472708374,0.771959401434287,0.1
0.735529011115432,0.44436757476069,0.129914509598166,0.1
0.898672399343923,0.299990111263469,0.0727668826002628,0.1
0.0530451575759798,0.401103632291779,0.790371816372499,0.1
0.35435021109879,0.662910823477432,0.912049035541713,0.1
0.862057666061446,0.200302361277863,0.182821862166747,0.1
0.160543857840821,0.386530926916748,0.284205182222649,0.1
0.539579494623467,0.862212245119736,0.228124887915328,0.1
0.0935582660604268,0.906582511728629,0.0201269637327641,0.1
0.282039004378021,0.0701804396230727,0.859176932368428,0.1
0.193636141717434,0.707839982118458,0.694873054046184,0.1
0.40480484161526,0.545438422588632,0.83801376982592,0.1
0.588847245555371,0.836847053840756,0.618518521077931,0.1
0.00608303584158421,0.588775646174327,0.844474748941138,0.1
0.981125985272229,0.632609273539856,0.678949140943587,0.1
0.915200873743743,0.86906498321332,0.252549626864493,0.1
0.92659734422341,0.755290865432471,0.847169228363782,0.1
0.491444579092786,0.872466791886836,0.72919501317665,0.1
0.413461772957817,0.933232999173924,0.311943267239258,0.1
0.685454100836068,0.425474112853408,0.489173547830433,0.1
0.81590688158758,0.755826740991324,0.868490433087572,0.1
0.130366959376261,0.0496313080657274,0.310125584015623,0.1
0.0606581722386181,0.803699161857367,0.989321856992319,0.1
0.767656119540334,0.307618665276095,0.52252388605848,0.1
0.657028046436608,0.271735800430179,0.672153986059129,0.1
0.679042547475547,0.415667125955224,0.493319673696533,0.1
0.577613598899916,0.494106671307236,0.432434137910604,0.1
0.339619265636429,0.182717652060091,0.510171486530453,0.1
0.294934883713722,0.792717989301309,0.93184624845162,0.1
0.680000137537718,0.434244506293908,0.372978786705062,0.1
0.942218168172985,0.899461694993079,0.516519751399755,0.1
0.391191853443161,0.212926109088585,0.28864109935239,0.1
0.640654928749427,0.480859879637137,0.770292079309002,0.1
0.827877222560346,0.22682084958069,0.366591561818495,0.1
0.40305086877197,0.0638868538662791,0.835255535086617,0.1
0.741937729297206,0.535805895691738,0.843817001441494,0.1
0.615254822652787,0.0292917632032186,0.618079986190423,0.1
0.782075330615044,0.899286308325827,0.193370988825336,0.1
0.917736623901874,0.377545810537413,0.168389891739935,0.1
0.176931231282651,0.908181008417159,0.486566052539274,0.1
0.149650354171172,0.255435885395855,0.612326188478619,0.1
0.994536751648411,0.0937760756351054,0.124911153223366,0.1
0.353256108937785,0.121181540424004,0.433201257139444,0.1
0.506294301478192,0.978287810226902,0.776617153314874,0.1
0.507999378954992,0.345859138295054,0.488310625776649,0.1
0.791835565352812,0.643408772535622,0.494302155682817,0.1
0.789991887053475,0.228574735112488,0.266461990308017,0.1
0.515551389660686,0.626609330065548,0.837334968382493,0.1
0.0947246965952218,0.299953018315136,0.341753048589453,0.1
0.228304111165926,0.931470149895176,0.930408172309399,0.1
0.618000474525616,0.0945666781626642,0.234178564278409,0.1
0.370499471900985,0.576090553076938,0.712243334855884,0.1
0.870637844083831,0.594540101941675,0.544281347887591,0.1
0.555129213491455,0.493451306829229,0.365994720021263,0.1
0.851990740280598,0.313747469102964,0.598263933090493,0.1
0.809731140732765,0.0971155317965895,0.365364544792101,0.1
0.632793304743245,0.618960305815563,0.646066055167466,0.1
0.00136907631531358,0.576237168163061,0.484587954124436,0.1
0.911941390717402,0.373034689109772,0.800798664335161,0.1
0.96761627565138,0.727352561894804,0.0198698674794286,0.1
0.120890645775944,0.381462431279942,0.615763620706275,0.1
0.084151565330103,0.10734153795056,0.642460025614128,0.1
0.606440514093265,0.0470216791145504,0.824924974469468,0.1
0.184956413460895,0.316199804190546,0.0552378320135176,0.1
0.845335310325027,0.928231614874676,0.431381468195468,0.1
0.511937234317884,0.189815416233614,0.837083117570728,0.1
0.949796245666221,0.803027715301141,0.470071931136772,0.1
0.0365877521689981,0.257136032683775,0.953232489759102,0.1
0.416487719165161,0.535338378977031,0.800543776480481,0.1
0.646384058985859,0.0569164764601737,0.281535048270598,0.1
0.770276599563658,0.0710632905829698,0.899796329904348,0.1
0.168320337543264,0.597281255293638,0.573831811314449,0.1
0.859271074645221,0.0606920782011002,0.820975779090077,0.1
0.66018528980203,0.171314308186993,0.64822907699272,0.1
0.931514883879572,0.205690396716818,0.749586019665003,0.1
0.76629772526212,0.579031421802938,0.13165123318322,0.1
0.895534901414067,0.454082341864705,0.522393389837816,0.1
0.2202392173931,0.193852842086926,0.345033386256546,0.1
0.0892772534862161,0.690816279733554,0.890436820453033,0.1
0.294733629096299,0.495549371698871,0.200666109565645,0.1
0.0306614628061652,0.924822971457615,0.103957487270236,0.1
0.98142789513804,0.942006127908826,0.972977310186252,0.1
0.434555426938459,0.842133590485901,0.159112809458748,0.1
0.294621103210375,0.879097246099263,0.675724940840155,0.1
0.727969911647961,0.817005324177444,0.767941350350156,0.1
0.267357094213367,0.766729041701183,0.324133168905973,0.1
0.109658561181277,0.13283881242387,0.0546352823730558,0.1
0.474330795463175,0.920011619571596,0.371326719177887,0.1
0.750782538671046,0.0646824303548783,0.221945830155164,0.1
0.712651515146717,0.953667614376172,0.466147518483922,0.1
0.732740302104503,0.29489774024114,0.359051458537579,0.1
0.298623812850565,0.554331172723323,0.155974545748904,0.1
0.164425595896319,0.469901219010353,0.222948817070574,0.1
0.874285908648744,0.262528878869489,0.986669021192938,0.1
0.600992029067129,0.517446619225666,0.0358305531553924,0.1
0.427578500239179,0.575978910084814,0.666864579310641,0.1
